FeatureID,FeatureName,oligodendrocyte Average,oligodendrocyte Log2 Fold Change,oligodendrocyte P-Value,OPC Average,OPC Log2 Fold Change,OPC P-Value,microglia Average,microglia Log2 Fold Change,microglia P-Value,astrocyte Average,astrocyte Log2 Fold Change,astrocyte P-Value,pericyte Average,pericyte Log2 Fold Change,pericyte P-Value,endothelial stalk Average,endothelial stalk Log2 Fold Change,endothelial stalk P-Value,ependymal Average,ependymal Log2 Fold Change,ependymal P-Value,inhibitory Average,inhibitory Log2 Fold Change,inhibitory P-Value,excitatory Average,excitatory Log2 Fold Change,excitatory P-Value,exclude_debris Average,exclude_debris Log2 Fold Change,exclude_debris P-Value
ENSMUSG00000050953,Gja1,0.06953571987352929,-1.461669742035372,0.00030458357313245554,0.08191072545878846,-1.1577228535529844,0.9677265435939981,0.25755543248859275,0.5034261704050897,0.9913917988567047,3.112612259125879,6.265680971705215,1.4467129641979364e-221,0.46966976534765276,1.3687492998991477,0.9315684067096944,0.25696171498945763,0.49678968472616813,1,0.6921994881261826,1.930791093478414,0.11425038381769506,0.01603012197812148,-3.5744868167884087,1.4030693369709102e-12,0.0314756059432112,-4.656090423950657,1.9084437968336804e-189,0.2852602033075407,0.6528544178288513,0.9960904898224664
ENSMUSG00000040055,Gjb6,0.05175215933116117,-1.611006504053722,7.226410746616102e-05,0.08864311385266148,-0.763809138079357,1,0.22580202300369778,0.5958514685153338,0.9655303205041743,2.55964217726455,6.250681123491409,6.303070727858509e-220,0.2818018592085917,0.9222719665165635,1,0.13471779232457,-0.14724190647859192,1,0.055375959050094604,-1.3729432801738746,1,0.010048733180314958,-3.958362482180272,3.2052526782170474e-14,0.030302393794103225,-4.392802764477464,2.863435053558579e-169,0.11042330450614479,-0.4050239199437735,0.9960904898224664
ENSMUSG00000020122,Egfr,0.01598522295943202,-2.3621945016145385,4.7416832391608226e-08,0.034784006701677285,-1.143230766873987,0.9927104434930736,0.158767047424475,1.044945256936225,0.7867530148485923,1.3180461514636455,6.192428814980244,7.863052232030601e-209,0.3287688357433569,2.09157786887151,0.4628403266652821,0.04490593077485667,-0.7381656172500533,1,0.14190089506586742,0.8849728583342267,0.7258365640799064,0.01052724428413948,-2.942298995604889,9.311027919591626e-09,0.016005965748544567,-4.363271262660681,2.406633085285517e-162,0.07821650735851922,0.06715188372861247,0.9960904898224664
ENSMUSG00000052384,Nrros,0.017983375829361024,-2.124795106008952,6.567104690653826e-07,0.026929553575492093,-1.4349183402317176,0.8351266492370097,1.0584469828298333,3.889165065959553,2.6144921503442703e-07,1.2545293177363306,6.1681203929564825,1.6884623455427343e-207,0.013419136152790079,-1.9129920163119425,1,0.07234844402615798,-0.01024310721288657,1,0.04499296672820187,-0.6408483016220177,1,0.007416922109280088,-3.371102475603553,1.6998477829547891e-10,0.012335487739192463,-4.725932201445309,1.6801431231030824e-175,0.06441359429525112,-0.1305522423763148,0.9960904898224664
ENSMUSG00000097623,B230323A14Rik,0.02537654144809833,-2.138241167907306,3.5757905836361417e-07,0.04824878348942334,-1.1232263302914998,0.9939897654697478,0.13054179454901277,0.3253252234785915,1,1.7747350600279133,6.145323798986088,3.472288940403153e-207,0.013419136152790079,-2.418654454300162,1,0.06486412223034853,-0.6705184226676333,1,0.17304987203154565,0.724456054355151,0.8061387508596304,0.020336721912542176,-2.442854939136886,6.572620988274813e-07,0.023430722635042204,-4.231123137823288,1.3987086004339614e-154,0.05981262327416176,-0.7368471938263408,1
ENSMUSG00000030307,Slc6a11,0.10869951612413774,-1.52205993657543,0.0001419211410050744,0.19187306922538117,-0.6394612599933087,1,0.3351748778961139,0.1754378573251052,1,4.945116023132028,6.109973396318557,4.883536241296057e-210,0.10735308922232063,-1.4018399991284658,1,0.35675267226691687,0.26272193467085647,1,0.159205882269022,-0.8858537559732349,1,0.09522370966107983,-1.7047399716423544,0.00031252721216666477,0.06043718585261959,-4.375284076363697,1.2611037258987897e-169,0.3128660294340769,0.08001153811572825,0.9960904898224664
ENSMUSG00000053279,Aldh1a1,0.10750062440218035,-1.1336113745199898,0.005742336408344868,0.7731026005630856,1.8069956491786126,0.00665598333400318,0.2822525287546222,0.32456530561324715,1,3.7132918179045573,6.025516122516509,2.6827526159102317e-201,1.1070787326051816,2.2923799227483537,0.2916927863223136,0.2045714624187915,-0.14087571365293838,1,0.09690792833766557,-1.1894753097648532,1,0.01818342194533183,-3.7041273778560067,2.2084594276850663e-13,0.03910148491241307,-4.6508852097852245,4.080562587466909e-189,0.2714572902442726,0.2725787258702643,0.9960904898224664
ENSMUSG00000032281,Acsbg1,0.06294181540276358,-0.8567658691140867,0.04895901006214192,0.1301595089482118,0.2451367696841773,1,0.18699230029993721,0.7797006951863907,0.8989243187778335,1.8072119931102055,6.020207406443221,5.209844244047938e-199,0.04025740845837024,-1.2507165338968735,1,0.1646550795078078,0.5923862114194414,1,0.04499296672820187,-1.2025773792536159,1,0.01866193304915635,-2.6222960128553243,9.037325605276078e-08,0.021855266320525778,-4.4177024418796424,6.888099608798348e-170,0.12422621756941289,0.2103740916314525,0.9960904898224664
ENSMUSG00000017009,Sdc4,0.06134329310682038,-0.971113130361188,0.022212914539619332,0.058347366080232874,-0.9821963929225412,1,0.21168939656596666,0.8831051882802736,0.8525507384552059,1.881362866873315,5.957974837405388,3.30857549428759e-194,0.20128704229185118,0.8269085812981944,1,0.1646550795078078,0.518658327044347,1,0.6818164958042898,2.5770549158629983,0.00966182416964037,0.019618955256805393,-2.62420083826513,8.27583931259427e-08,0.0221737096181408,-4.4795875195578505,9.626860254621556e-175,0.15183204369594908,0.41809310528644117,0.9960904898224664
ENSMUSG00000020591,Ntsr2,0.11129711485504544,-0.9275549649935337,0.027995702642046878,0.2446101116440532,0.2613021218451368,1,0.31047778163008444,0.6110195138804342,0.9558580079722246,3.3080486705945398,5.9529897632610504,9.046046099133004e-196,0.12748179345150576,-0.623965959931605,1,0.26943558464914,0.404566535151196,1,0.08306393857514191,-1.2546497255778553,1,0.03588833278683914,-2.5757066808463565,7.336325970492081e-08,0.04309040621938019,-4.30976634682714,7.04940951724113e-164,0.2714572902442726,0.42219522647843655,0.9960904898224664
