FeatureID,FeatureName,astrocyte Average,astrocyte Log2 Fold Change,astrocyte P-Value,inhibitory Average,inhibitory Log2 Fold Change,inhibitory P-Value,excitatory Average,excitatory Log2 Fold Change,excitatory P-Value
ENSMUSG00000093528,Nrg3os,0.03793765634391653,-6.191159683074723,7.645916918996189e-25,2.772254080007367,0.06091345967909989,1,3.005467842890585,1.2150410751668193,3.990016495915794e-09
ENSMUSG00000092094,Zfp804b,0.05834351695314436,-6.159497701687901,1.13359522546169e-24,3.5070078799299202,-0.1993979848534746,0.895924288163616,4.6535962699574736,1.7672489060105188,7.876099103174033e-17
ENSMUSG00000052551,Adarb2,0.07702493863764871,-5.820683398512504,6.890907664937914e-23,1.1118205497362763,-1.9680145925785433,7.409670488408986e-06,4.789538037691972,1.5121189181914845,5.762488019549422e-13
ENSMUSG00000045083,Lingo2,0.20147194770519308,-5.800932643919395,3.765575988639757e-23,9.184781382359784,-0.23689113535605033,0.8356832410344391,12.524006171380556,1.8217559473146394,8.299489263453708e-18
ENSMUSG00000052581,Lrrtm4,0.17416833139707133,-5.7679378687389065,6.687238924500298e-23,11.243575406564789,0.3306112421704661,0.5876283016424236,10.159229483117839,1.1127708955862872,6.737772961335062e-08
ENSMUSG00000041014,Nrg3,0.40926683813437226,-5.742249757671822,2.701094396353162e-24,18.825583846664337,-0.16056539443795614,0.9516640742422423,24.287100463196793,1.714927906964268,3.973090915432698e-16
ENSMUSG00000093383,Gm20642,0.04253616014317914,-5.727801659094343,1.792944570883871e-22,2.3325023755926315,0.11401460086001203,0.9536269048809345,2.41562705483977,1.0574011011981308,2.7893892242420383e-07
ENSMUSG00000039419,Cntnap2,0.34603741089451134,-5.723234227907282,3.657086832926199e-24,14.032338119654101,-0.3317396132641486,0.6884878631856588,20.403500086872445,1.856372760138521,2.3720374454434305e-18
ENSMUSG00000039488,Cntn5,0.08708416569853566,-5.674097479222444,2.812190623642481e-22,5.797162022834081,0.47700645108414097,0.3423710586976805,4.81045473429321,1.241851140762304,2.0197273472231696e-09
ENSMUSG00000103428,Gm20754,0.04109912770590957,-5.672693086649085,3.7687744502073427e-22,0.3206024395624296,-2.720720565071341,1.0045545488973023e-09,2.4175544747990183,2.6057122233100474,1.0247981427389001e-31
ENSMUSG00000036617,Etl4,0.06897755698893915,-5.649977986746016,5.137542173694186e-22,3.180424051569684,-0.06485214485083302,1,3.858175193035823,1.7412870871245991,2.2430579121900907e-16
ENSMUSG00000075316,Scn9a,0.02960286820775305,-5.641973833962869,7.298955826568756e-22,1.740584140161698,0.3087730312993431,0.625362694654524,1.5924511305049356,1.0888095978253456,1.2805852869431257e-07
ENSMUSG00000055540,Epha6,0.08794638516089741,-5.637396357972237,3.5939448850330262e-22,3.1036230194058483,-0.45524955170277304,0.5032038998706091,4.917920967151502,1.9488013622758857,7.427001538782559e-20
ENSMUSG00000108532,Gm32647,0.07558790620037914,-5.628997223981165,5.507297334991914e-22,0.9553474187856578,-1.9682163600395948,7.068578742375746e-06,4.3251974292485915,2.8356205220548185,4.036556097532862e-36
ENSMUSG00000046159,Chrm3,0.05144576125425045,-5.614845654908551,7.642309901126927e-22,1.6446426638448814,-0.5836714103641949,0.3312273241722806,2.8471177231081257,2.020027374362795,5.803500035296886e-21
ENSMUSG00000117000,Gm32509,0.024716957921036526,-5.544740730087708,2.9094071395573738e-21,1.2005843594957253,0.11518909608746133,0.9525445877478447,1.1915980595018567,0.5729298690779067,0.0064712205531769415
ENSMUSG00000057378,Ryr3,0.06639089860185392,-5.5412708433832085,1.3722354760602594e-21,1.87624203809595,-0.6901733395562136,0.21277978664152927,3.4962895255566875,2.085073866493678,3.8797835029282515e-22
ENSMUSG00000068151,A230006K03Rik,0.07098940240111654,-5.535502170598208,1.214761553379451e-21,2.9313590220290204,-0.11193079466413769,1,3.6636398585401615,1.7186010535804896,3.6264566464822895e-16
ENSMUSG00000092083,Kcnb2,0.06006795587786783,-5.5324364558976065,1.5423932713124916e-21,3.266556050258098,0.31277389034716796,0.6175217240854142,3.025613571508125,1.3087793528068794,2.7107282474105105e-10
ENSMUSG00000040420,Cdh18,0.07759975161255653,-5.486299674495271,2.4356241184190008e-21,4.153954892300674,0.33950267145988233,0.5712500945483847,3.7710893312248936,1.2649925981710135,9.957301973827775e-10
ENSMUSG00000050272,Dscam,0.10404114845831654,-5.473016291019793,2.2026405364163692e-21,3.920202218082395,-0.18345315490468095,0.9210265875290791,4.981609626674506,1.1945360165237702,6.977657498351356e-09
ENSMUSG00000029088,Kcnip4,2.1161739671231623,-5.462206280415525,9.660427625856266e-23,17.853249283692907,-2.385230281355125,5.9089845292567485e-08,108.07544840697551,3.08852924444892,1.6250283454400276e-41
ENSMUSG00000063626,Unc5d,0.022992518996313046,-5.43965765042212,1.871561156866889e-20,2.837331590127502,1.734079539553261,1.1550700061455804e-09,0.9825316545308148,0.1429115130710723,0.5940312916805285
ENSMUSG00000078591,Hs3st4,0.029315461720299134,-5.406737816156089,3.851844419276372e-20,5.080352389304948,2.3920358349248687,1.5356046897991106e-20,1.124456804225763,-0.40970781054931693,0.04241190972215492
ENSMUSG00000062991,Nrg1,0.0836352878490887,-5.3987650496316,8.446147972180168e-21,8.487829959639367,1.4645902353815543,1.0740581655953161e-06,3.5429330885705093,0.38205503820755493,0.08317264335231583
ENSMUSG00000028033,Kcnq5,0.05230798071661218,-5.384309000092085,1.1602868407703377e-20,1.6156927420634979,-0.39519275060636083,0.5902291954355338,2.457326366653779,1.9203593059444302,2.7210898969238824e-19
ENSMUSG00000067028,Cntnap5b,0.020693267096681744,-5.381679521668987,3.6655889784444844e-20,1.392228056577446,0.7965093578656615,0.03864642857106725,0.9224967128436037,0.9346266585016321,6.3967839683832585e-06
ENSMUSG00000062257,Opcml,0.22245262128932874,-5.37324536320051,6.6444271132400975e-21,9.225454826184867,0.07034643127991469,1,9.748973954748337,0.9503467428178145,3.836338275150868e-06
ENSMUSG00000039539,Sgcz,0.1184114728310122,-5.359208188394784,1.1392804691506726e-20,12.65757571836625,1.6003605243969985,3.8871303733821195e-08,4.726419224069962,0.12328489668504261,0.6552798671997545
ENSMUSG00000036815,Dpp10,0.16640835623581568,-5.342980888726287,1.0571938202404583e-20,8.840731898709953,0.48521165618006945,0.3287615273965124,7.260440144928285,1.16677319763998,1.5823556741147758e-08
ENSMUSG00000038048,Cntnap5c,0.04311097311808696,-5.337745482188379,2.1674467133468256e-20,0.8725649978240155,-0.9809833964308193,0.04269702152633673,1.9999579904108127,2.427132123452001,3.1730358135171835e-28
ENSMUSG00000042581,Thsd7b,0.040524314731001744,-5.305710983428241,3.9171704915283524e-20,1.1828794486542178,-0.40074787880122686,0.5862548620982919,1.7792097444693673,1.6083378859137099,2.2933210451821266e-14
ENSMUSG00000040452,Cdh12,0.055182045591151314,-5.28859293437511,3.014312930362438e-20,1.3630388792441503,-0.6310708992567506,0.27285000925430863,2.444756236484765,2.1174617112777465,1.0960575338271016e-22
ENSMUSG00000036264,Fstl4,0.03535099795683131,-5.269386576751777,5.922484109399598e-20,0.4950197369064678,-1.4578886953811825,0.0010768580783623784,1.574216061673086,2.597600846364851,2.161880222798352e-31
ENSMUSG00000055409,Nell1,0.11869887931846611,-5.2580205644018125,2.951240974026472e-20,1.3137522355502247,-1.7843234694244796,4.4943130123604295e-05,5.248247227819633,2.851521620577437,1.3255983046313728e-36
ENSMUSG00000035653,Lrfn5,0.1560617226874748,-5.249188870738111,2.8057324097449104e-20,4.945173002474521,-0.20975067722893348,0.8782790357716257,6.5973573984260145,1.7374436936257767,1.8106939469441093e-16
ENSMUSG00000034687,Fras1,0.02701620982066783,-5.245727749532367,1.238551998139725e-19,0.4079307160104048,-1.3260127269629107,0.0034340343276784502,1.1760110980922793,2.3057266459899006,8.671770139217954e-26
ENSMUSG00000052479,A330008L17Rik,0.03793765634391653,-5.228074758184365,9.594072600948204e-20,0.9632428519987624,-0.5303577002269546,0.3999193450695719,1.6077866893111328,1.9940219173461522,1.8063382966715464e-20
ENSMUSG00000097311,Gm26871,0.040524314731001744,-5.223803589023582,8.132474278667743e-20,1.5558788540854327,0.10208458150482325,0.971687329287573,1.6623913347653299,1.4080187576259044,1.3721857456102585e-11
ENSMUSG00000044071,Tafa2,0.045697631505172184,-5.215914607312689,8.864016850486541e-20,1.4812311218888072,-0.14691164385507527,0.9701349354630845,1.8718264635546629,1.4901683804412222,1.070449673098078e-12
