FeatureID,FeatureName,Bergmann glia Average,Bergmann glia Log2 Fold Change,Bergmann glia P-Value,Purkinje Average,Purkinje Log2 Fold Change,Purkinje P-Value,endothelial stalk Average,endothelial stalk Log2 Fold Change,endothelial stalk P-Value,astrocyte Average,astrocyte Log2 Fold Change,astrocyte P-Value,microglia Average,microglia Log2 Fold Change,microglia P-Value,OPC Average,OPC Log2 Fold Change,OPC P-Value,MLI Average,MLI Log2 Fold Change,MLI P-Value,PLI Average,PLI Log2 Fold Change,PLI P-Value,fibroblast Average,fibroblast Log2 Fold Change,fibroblast P-Value,pericyte Average,pericyte Log2 Fold Change,pericyte P-Value,oligodendrocyte Average,oligodendrocyte Log2 Fold Change,oligodendrocyte P-Value,granule Average,granule Log2 Fold Change,granule P-Value,UBC Average,UBC Log2 Fold Change,UBC P-Value,Golgi Average,Golgi Log2 Fold Change,Golgi P-Value
ENSMUSG00000028364,Tnc,1.2998753304488695,8.195654276991238,0,0.005523099517306055,-3.99560149335641,1.6033622350326511e-24,0.017032667226952423,-2.187295287182889,0.8053374398284256,0.010134854827926082,-2.9917694379465347,0.0001378790724521206,0.010153758840830755,-2.653819465747402,1,0.00965844291828254,-2.8789932126173405,1,0.007490884507767945,-3.534503572902388,5.08298819139405e-18,0.0032701366787192443,-4.353184564388332,0.7739409365606954,0.025168812008261647,-1.6466345503475726,0.7652424775549429,0,-4.8188041066233485,1,0.0021767524947841977,-5.117485986312103,7.631994118934373e-08,0.0027504064669815927,-6.130356084760559,2.9267807531646713e-201,0.019598184537788232,-1.9897902266889744,0.9597534262926876,0.0020374377981034614,-5.186368505836708,9.903102075979597e-07
ENSMUSG00000059049,Frem1,1.127269083430398,7.236119359096317,4.207021425853478e-258,0.003068388620725586,-4.702559920955844,4.373194643219767e-30,0.014193889355793687,-2.305610342260935,0.7493922773835805,0.06370480177553536,-0.18685199632666327,1,0.022845957391869197,-1.5175704969776422,1,0.024146107295706352,-1.5195763612958255,1,0.008935555091408906,-3.141843944421592,2.4110650398939637e-15,0.009156382700413884,-2.894576724421452,1,0.04449486408603398,-0.6949019769073637,1,0.008493395400742022,-2.6828036047475945,1,0.0014511683298561319,-5.512623706254763,1.614111806382912e-08,0.004404187847449625,-5.293898412029302,1.5866212838801695e-165,0.0017292515768636677,-4.986333070921774,0.13475430316523426,0.005297338275068999,-3.753447437010556,0.00016142818789005725
ENSMUSG00000020061,Mybpc1,2.9058876509922418,7.097279260238217,1.8980648827826564e-240,0.008638694116812035,-4.60308252944059,1.4908040858925892e-29,0.04031064577045407,-2.216136133647259,0.8211565874007984,0.3198109745701119,0.7981330400189905,0.19033992642954978,0.017769077971453818,-3.2204138778628546,1,0.18351041544736826,-0.030705390339433425,1,0.017496565957429416,-3.561261880114453,4.354366899314684e-18,0.022236929415290863,-3.0525341002348103,1,0.03595544572608807,-2.386377019645796,0.44576119032750977,0.011324527200989361,-3.741280433964281,1,0.004716297072032428,-5.307702784029759,2.9235218766844057e-08,0.007658688104199548,-5.8950978558693805,4.128979878730882e-193,0.005187754730591003,-5.044607742912474,0.15132887312808438,0.007742263632793152,-4.604385255499013,8.236336997558808e-06
ENSMUSG00000100807,Gm29521,1.4745765345551642,6.631694666504958,2.628566928267211e-214,0.004012508196333459,-4.779745992242465,2.0886730239733548e-31,0.017600422801184172,-2.4650311708225248,0.6883399119363733,0.014478364039894403,-2.806152954775005,0.0002886491074077837,0.012692198551038442,-2.7138241137423598,1,0.027768023390062305,-1.7859988052400593,1,0.011557364669127686,-3.2323806630999194,3.4010096473307557e-16,0.022236929415290863,-2.1297761403368787,1,0.020224938220924537,-2.280925571341422,0.4534092106504161,0.0028311318002473404,-4.141766295455829,1,0.005079089154496462,-4.281987831789959,1.8786752176463021e-06,0.006924656796291277,-5.092953705676015,2.3961674935085666e-159,0.038619951883288574,-1.3527702890308264,1,0.2534572620840706,1.410673620071207,0.011548938252798334
ENSMUSG00000030276,Ttll3,3.197268856381208,6.517505112153042,2.6662310695953125e-209,0.015955620827773048,-3.928712172538592,3.663784187386917e-25,0.048259223809698534,-2.1713391486038387,0.7979556443220438,0.12097477508889545,-0.8710237160189327,0.45173604471491285,0.17007546058391512,-0.3425333418139225,0.9485398419795679,0.13401089549117023,-0.6946559168381308,1,0.04307258591966568,-2.4607189671216343,4.2479802051328154e-11,0.04120372215186248,-2.392631353553553,1,0.0539331685891321,-2.018046309058883,0.5646419460089954,0.3567226068311649,0.7180795609561765,1,0.053511832163444864,-2.055493488080478,0.015629473583138178,0.028777564770283287,-4.115309859918114,1.0984445610850888e-117,0.04438412380616747,-2.290447097039132,0.8620104697968168,0.02689417893496569,-3.043066757583347,0.001567545177159035
ENSMUSG00000063260,Syt10,1.050848692270241,6.201810565330584,1.2597704854015298e-184,0.004342950047796214,-4.244025028966416,8.341913084021153e-27,0.010219600336171454,-2.7977392346740304,0.5640773626743462,0.2665627690456114,1.97484711374152,9.153265747496768e-07,0.017769077971453818,-1.8785573051284508,1,0.07968215407583096,0.12003732359527275,1,0.007865428733156342,-3.3660806945122754,4.59834201173351e-17,0.012426519379133128,-2.517894170943523,1,0.0071910891452176134,-3.2989394999851553,0.14591219293134944,0.005662263600494681,-3.1367805033411607,1,0.0032651287421762965,-4.47244682644309,9.22369823787774e-07,0.0043069065897750345,-5.367496579884743,2.1627152524819976e-170,0.0017292515768636677,-5.025170017014787,0.12540626993011575,0.002852412917344846,-4.641576662921501,5.676643776098253e-06
ENSMUSG00000035258,Abi3bp,2.0486858617094788,6.026463379778209,1.759649642467991e-174,0.00911075390461597,-4.179244149211435,3.791308212203976e-27,0.046555957087003295,-1.6647176777142754,1,0.4838991003555818,1.8209953008324484,9.904625386286394e-06,0.03299971623269995,-2.067713645141001,1,0.02897532875484762,-2.304201170329925,1,0.01642643959917685,-3.304497130378611,5.0096195629109975e-17,0.021582902079547012,-2.7490733358006985,1,0.29168855345288947,0.9935046575257058,0.3208071513977794,0.025480186202226064,-2.396019285944389,1,0.007800029772976709,-4.2570399345342835,1.4962209920371114e-06,0.0093832194902491,-5.237365931286842,1.9262313835620246e-173,0.07089931465141038,-1.0614136133030105,1,0.012428370568431114,-3.5890320626052055,0.00021034686520650465
ENSMUSG00000020524,Gria1,16.35487455918136,5.9852691363908965,5.620479855068993e-173,1.5973559099709596,0.486482435527008,0.07869223070766608,0.22880549641539424,-2.3884357206521596,0.7081647447116594,0.21347543423266524,-2.519124921010491,0.00026811762142667,0.13961418406142287,-3.073282628904381,1,0.2631925695231992,-2.1783614841692485,1,0.12675646713501615,-3.3664857019728367,1.6615800049741103e-18,0.13930782251343982,-3.100654936561307,1,0.13618125068755854,-3.139890625986056,0.1702840433547266,0.12740093101113031,-3.1998129149791525,1,0.03174430721560288,-5.26338301196037,6.4284514426291e-09,0.053884973001025224,-5.738045667396022,7.612776106845178e-201,0.3833174328714463,-1.6435550769368998,1,0.07151406671343148,-4.0899389640001385,2.3691700154464297e-05
ENSMUSG00000000628,Hk2,1.0809978573167391,6.03854587399565,1.1144445600595455e-172,0.004484567984137395,-4.270122134162289,6.976302119228194e-27,0.019303689523879414,-1.9866460668505161,0.8819850281423249,0.14188796759096514,0.9022072963609218,0.07500869242063354,1.776907797145382,4.57215345198909,4.401250408089362e-06,0.022938801930921033,-1.7007823162656805,1,0.009898668813836213,-3.105102443063327,3.711995582641554e-15,0.010464437371901582,-2.8244816903779832,1,0.049888180944947194,-0.6415627809825057,1,0.014155659001236703,-2.208232963673533,1,0.012516326845009137,-2.657930428890268,0.0017683531131711353,0.0069511880483843465,-4.721800397174724,1.0219936885512604e-140,0.0034585031537273355,-4.289272506058561,0.24309839817768056,0.005093594495258653,-3.9187586176697926,8.450358028663068e-05
ENSMUSG00000115149,9330188P03Rik,1.1028582791027197,5.998771640334362,2.2142059238216295e-170,0.003729272323651097,-4.571775242811054,1.8881677100480772e-29,0.019871445098111163,-1.9828474179550715,0.8747011120785267,0.16553596218945935,1.1001118350938968,0.029996894565971818,0.025384397102076885,-1.5274822941586041,1,0.12676706330245835,0.6765126884778487,1,0.02257966615912909,-1.9340860810944651,1.4571693652806677e-07,0.011118464707645432,-2.7788185810847708,1,0.010337190646250318,-2.909482670554963,0.23677408067260583,0.008493395400742022,-2.830252612998294,1,0.14330287257329302,0.8738038781032267,0.10297207285423933,0.004793312878147985,-5.320348312391515,1.759241882942967e-168,0.0017292515768636677,-5.133782079172473,0.11653260073173977,0.0036673880365862303,-4.4088531683370515,1.3282120507628222e-05
ENSMUSG00000005360,Slc1a3,14.656866296955322,5.89468483317351,4.248357029565691e-168,0.06575792844108833,-4.200310991218725,2.935795081126379e-29,0.3111300546789976,-1.8055155065101056,0.9486025391112625,2.7693892994086906,1.4346022338713587,0.0013131090095045003,1.0204527635034908,-0.08433514460708776,0.9392647372113022,0.4744710083606298,-1.1905367982470927,1,0.15083431019569885,-2.971732168675469,1.4972055630143347e-15,0.2138669387882386,-2.3444435950279483,1,1.6009162209540713,0.5736092329544322,0.8475143672752123,0.257632993822508,-2.0602753535884117,1,0.4865041825842682,-1.1761063991504113,0.15330095628078577,0.12521866612859284,-4.318675096919932,2.732731309791863e-129,0.024785939268379235,-5.428273295438325,0.07542998927572256,0.06397554686044868,-4.111011490645355,1.97011868682646e-05
ENSMUSG00000030111,A2m,1.6441769735780634,5.60805017218221,6.403360179038927e-146,0.008874724010714003,-3.99196080360273,2.7347227248479784e-25,0.03292982330544136,-1.9342667068719996,0.8996802932344921,0.6837005241061246,2.660090456232375,7.649656807085678e-14,0.025384397102076885,-2.1921225770977815,1,0.025353412660491667,-2.2650166440136448,1,0.013644111067720186,-3.3481816325208156,3.402769633673864e-17,0.015042628722108525,-3.028307128059622,1,0.11865297089609061,-0.09515874140754699,1,0.005662263600494681,-3.9097447741085,1,0.00616746540188856,-4.363775884988662,1.0650407971032125e-06,0.007870938120944108,-5.268233259959371,1.3887884752325472e-169,0.0034585031537273355,-4.990641979364467,0.12792116698006226,0.0024449253577241534,-5.621622056545856,1.0219815452042963e-07
ENSMUSG00000048960,Prex2,7.874215012400976,5.535026899076312,4.7112338568754407e-144,0.02341416547507524,-4.88062600491469,1.6790754432208506e-34,1.718028367625268,1.5028169215478793,0.18800261141924104,3.2610101939188825,2.6301575044326717,1.0528740825627961e-13,0.10407602811851523,-2.5376820783228466,1,0.3259724484920357,-0.9185707214586344,1,0.05965954447258042,-3.5039365460634064,1.0212529067795811e-19,0.054284268866739455,-3.4996580976675014,1,0.4696680097970254,-0.3956349242454609,1,1.9421564149696755,1.6594890342095412,0.9112383603426796,0.015237267463489385,-5.363021722093351,3.772205076116401e-09,0.026195189566557805,-5.830315751268103,6.544113159051488e-207,0.0691700630745467,-3.156362161231421,0.5408840893536727,0.019559402861793227,-5.0000341222005975,4.777624869991009e-07
